t,x,v
5.583,8.91766374376e-05,-0.00015013550645
5.584,8.90266282424e-05,-0.000149882954805
5.585,8.88768713864e-05,-0.000149630827992
5.586,8.8727366445e-05,-0.000149379125295
5.587,8.85781129946e-05,-0.000149127846003
5.588,8.84291106121e-05,-0.000148876989402
5.589,8.82803588752e-05,-0.000148626554781
5.59,8.81318573621e-05,-0.000148376541431
5.591,8.79836056521e-05,-0.000148126948643
5.592,8.78356033249e-05,-0.00014787777571
5.593,8.7687849961e-05,-0.000147629021924
5.594,8.75403451416e-05,-0.000147380686582
5.595,8.73930884486e-05,-0.000147132768979
5.596,8.72460794646e-05,-0.000146885268413
5.597,8.7099317773e-05,-0.000146638184182
5.598,8.69528029577e-05,-0.000146391515585
5.599,8.68065346035e-05,-0.000146145261925
5.6,8.66605122958e-05,-0.000145899422501
5.601,8.65147356206e-05,-0.000145653996619
5.602,8.63692041649e-05,-0.000145408983581
5.603,8.62239175161e-05,-0.000145164382694
5.604,8.60788752624e-05,-0.000144920193265
5.605,8.59340769926e-05,-0.000144676414601
5.606,8.57895222965e-05,-0.000144433046011
5.607,8.56452107642e-05,-0.000144190086805
5.608,8.55011419866e-05,-0.000143947536295
5.609,8.53573155556e-05,-0.000143705393794
5.61,8.52137310633e-05,-0.000143463658614
5.611,8.50703881028e-05,-0.000143222330071
5.612,8.49272862678e-05,-0.000142981407481
5.613,8.47844251527e-05,-0.000142740890161
5.614,8.46418043526e-05,-0.000142500777429
5.615,8.44994234633e-05,-0.000142261068604
5.616,8.4357282081e-05,-0.000142021763008
5.617,8.42153798031e-05,-0.000141782859961
5.618,8.40737162271e-05,-0.000141544358787
5.619,8.39322909517e-05,-0.00014130625881
5.62,8.3791103576e-05,-0.000141068559354
5.621,8.36501536998e-05,-0.000140831259747
5.622,8.35094409235e-05,-0.000140594359315
5.623,8.33689648483e-05,-0.000140357857387
5.624,8.32287250761e-05,-0.000140121753293
5.625,8.30887212093e-05,-0.000139886046362
5.626,8.29489528512e-05,-0.000139650735929
5.627,8.28094196055e-05,-0.000139415821324
5.628,8.26701210768e-05,-0.000139181301883
5.629,8.25310568703e-05,-0.000138947176941
5.63,8.23922265917e-05,-0.000138713445834
5.631,8.22536298475e-05,-0.0001384801079
5.632,8.2115266245e-05,-0.000138247162477
5.633,8.1977135392e-05,-0.000138014608905
5.634,8.18392368968e-05,-0.000137782446525
5.635,8.17015703687e-05,-0.000137550674678
5.636,8.15641354175e-05,-0.000137319292709
5.637,8.14269316536e-05,-0.00013708829996
5.638,8.12899586881e-05,-0.000136857695778
5.639,8.11532161327e-05,-0.000136627479508
5.64,8.10167036e-05,-0.000136397650499
5.641,8.08804207028e-05,-0.000136168208098
5.642,8.07443670551e-05,-0.000135939151656
5.643,8.06085422711e-05,-0.000135710480523
5.644,8.04729459658e-05,-0.000135482194051
5.645,8.0337577755e-05,-0.000135254291592
5.646,8.02024372549e-05,-0.000135026772502
5.647,8.00675240824e-05,-0.000134799636135
5.648,7.99328378552e-05,-0.000134572881847
5.649,7.97983781916e-05,-0.000134346508995
5.65,7.96641447103e-05,-0.000134120516939
5.651,7.9530137031e-05,-0.000133894905037
5.652,7.93963547737e-05,-0.000133669672649
5.653,7.92627975594e-05,-0.000133444819138
5.654,7.91294650094e-05,-0.000133220343867
5.655,7.89963567458e-05,-0.000132996246198
5.656,7.88634723913e-05,-0.000132772525497
5.657,7.87308115693e-05,-0.000132549181129
5.658,7.85983739038e-05,-0.000132326212462
5.659,7.84661590194e-05,-0.000132103618863
5.66,7.83341665413e-05,-0.000131881399702
5.661,7.82023960954e-05,-0.000131659554349
5.662,7.80708473082e-05,-0.000131438082175
5.663,7.79395198069e-05,-0.000131216982552
5.664,7.78084132191e-05,-0.000130996254853
5.665,7.76775271734e-05,-0.000130775898453
5.666,7.75468612987e-05,-0.000130555912728
5.667,7.74164152246e-05,-0.000130336297053
5.668,7.72861885814e-05,-0.000130117050807
5.669,7.7156181e-05,-0.000129898173367
5.67,7.70263921119e-05,-0.000129679664114
5.671,7.68968215493e-05,-0.000129461522428
5.672,7.67674689448e-05,-0.000129243747691
5.673,7.66383339318e-05,-0.000129026339285
5.674,7.65094161443e-05,-0.000128809296595
5.675,7.63807152169e-05,-0.000128592619004
5.676,7.62522307848e-05,-0.0001283763059
5.677,7.61239624838e-05,-0.000128160356668
5.678,7.59959099504e-05,-0.000127944770698
5.679,7.58680728215e-05,-0.000127729547376
5.68,7.57404507349e-05,-0.000127514686095
5.681,7.56130433289e-05,-0.000127300186244
5.682,7.54858502422e-05,-0.000127086047216
5.683,7.53588711144e-05,-0.000126872268403
5.684,7.52321055855e-05,-0.0001266588492
5.685,7.51055532963e-05,-0.000126445789002
5.686,7.4979213888e-05,-0.000126233087205
5.687,7.48530870026e-05,-0.000126020743206
5.688,7.47271722826e-05,-0.000125808756403
5.689,7.46014693709e-05,-0.000125597126195
5.69,7.44759779115e-05,-0.000125385851983
5.691,7.43506975485e-05,-0.000125174933168
5.692,7.42256279269e-05,-0.000124964369151
5.693,7.41007686921e-05,-0.000124754159336
5.694,7.39761194904e-05,-0.000124544303127
5.695,7.38516799682e-05,-0.00012433479993
5.696,7.3727449773e-05,-0.00012412564915
5.697,7.36034285526e-05,-0.000123916850195
5.698,7.34796159556e-05,-0.000123708402472
5.699,7.33560116308e-05,-0.000123500305392
5.7,7.32326152281e-05,-0.000123292558363
5.701,7.31094263976e-05,-0.000123085160798
5.702,7.29864447902e-05,-0.000122878112109
5.703,7.28636700573e-05,-0.000122671411708
5.704,7.27411018509e-05,-0.00012246505901
5.705,7.26187398236e-05,-0.00012225905343
5.706,7.24965836285e-05,-0.000122053394383
5.707,7.23746329195e-05,-0.000121848081288
5.708,7.22528873508e-05,-0.000121643113562
5.709,7.21313465774e-05,-0.000121438490624
5.71,7.20100102548e-05,-0.000121234211894
5.711,7.18888780391e-05,-0.000121030276793
5.712,7.17679495869e-05,-0.000120826684743
5.713,7.16472245555e-05,-0.000120623435167
5.714,7.15267026026e-05,-0.000120420527489
5.715,7.14063833867e-05,-0.000120217961134
5.716,7.12862665667e-05,-0.000120015735527
5.717,7.11663518023e-05,-0.000119813850096
5.718,7.10466387533e-05,-0.000119612304268
5.719,7.09271270807e-05,-0.000119411097472
5.72,7.08078164456e-05,-0.000119210229138
5.721,7.06887065098e-05,-0.000119009698696
5.722,7.05697969358e-05,-0.000118809505577
5.723,7.04510873864e-05,-0.000118609649216
5.724,7.03325775253e-05,-0.000118410129044
5.725,7.02142670164e-05,-0.000118210944497
5.726,7.00961555246e-05,-0.000118012095009
5.727,6.99782427149e-05,-0.000117813580018
5.728,6.98605282532e-05,-0.00011761539896
5.729,6.97430118059e-05,-0.000117417551275
5.73,6.96256930397e-05,-0.0001172200364
5.731,6.95085716223e-05,-0.000117022853776
5.732,6.93916472216e-05,-0.000116826002845
5.733,6.92749195063e-05,-0.000116629483049
5.734,6.91583881453e-05,-0.000116433293829
5.735,6.90420528086e-05,-0.000116237434631
5.736,6.89259131663e-05,-0.000116041904899
5.737,6.88099688891e-05,-0.000115846704079
5.738,6.86942196486e-05,-0.000115651831617
5.739,6.85786651166e-05,-0.000115457286962
5.74,6.84633049656e-05,-0.000115263069562
5.741,6.83481388686e-05,-0.000115069178866
5.742,6.82331664992e-05,-0.000114875614325
5.743,6.81183875314e-05,-0.000114682375389
5.744,6.80038016401e-05,-0.000114489461513
5.745,6.78894085002e-05,-0.000114296872148
5.746,6.77752077878e-05,-0.000114104606749
5.747,6.76611991789e-05,-0.00011391266477
5.748,6.75473823506e-05,-0.000113721045668
5.749,6.74337569802e-05,-0.0001135297489
5.75,6.73203227455e-05,-0.000113338773923
5.751,6.72070793252e-05,-0.000113148120197
5.752,6.70940263982e-05,-0.00011295778718
5.753,6.69811636441e-05,-0.000112767774333
5.754,6.6868490743e-05,-0.000112578081118
5.755,6.67560073755e-05,-0.000112388706997
5.756,6.66437132229e-05,-0.000112199651433
