time,energy,energy_error,angle,angular_velocity
0.718259,2.87035,-1.64313e-14,-0.441832,-1.96431
0.720127,2.87035,-1.64313e-14,-0.445493,-1.95645
0.721999,2.87035,-1.55431e-14,-0.449148,-1.94852
0.723875,2.87035,-1.55431e-14,-0.452797,-1.9405
0.725757,2.87035,-1.55431e-14,-0.45644,-1.93241
0.727643,2.87035,-1.55431e-14,-0.460076,-1.92423
0.729533,2.87035,-1.64313e-14,-0.463707,-1.91598
0.731429,2.87035,-1.64313e-14,-0.467331,-1.90764
0.733329,2.87035,-1.64313e-14,-0.470948,-1.89922
0.735235,2.87035,-1.64313e-14,-0.474559,-1.89071
0.737145,2.87035,-1.64313e-14,-0.478163,-1.88213
0.739061,2.87035,-1.64313e-14,-0.48176,-1.87346
0.740981,2.87035,-1.55431e-14,-0.48535,-1.86471
0.742907,2.87035,-1.55431e-14,-0.488933,-1.85587
0.744838,2.87035,-1.64313e-14,-0.492508,-1.84696
0.746775,2.87035,-1.64313e-14,-0.496076,-1.83795
0.748717,2.87035,-1.64313e-14,-0.499636,-1.82886
0.750664,2.87035,-1.64313e-14,-0.503189,-1.81969
0.752617,2.87035,-1.55431e-14,-0.506734,-1.81043
0.754576,2.87035,-1.55431e-14,-0.51027,-1.80109
0.75654,2.87035,-1.64313e-14,-0.513799,-1.79166
0.75851,2.87035,-1.64313e-14,-0.517319,-1.78214
0.760486,2.87035,-1.46549e-14,-0.520831,-1.77253
0.762467,2.87035,-1.59872e-14,-0.524334,-1.76284
0.764455,2.87035,-1.59872e-14,-0.527828,-1.75306
0.766449,2.87035,-1.64313e-14,-0.531313,-1.74319
0.768448,2.87035,-1.77636e-14,-0.534789,-1.73323
0.770454,2.87035,-1.73195e-14,-0.538255,-1.72318
0.772467,2.87035,-1.77636e-14,-0.541713,-1.71304
0.774485,2.87035,-1.82077e-14,-0.54516,-1.70281
0.77651,2.87035,-1.73195e-14,-0.548598,-1.69249
0.778541,2.87035,-1.64313e-14,-0.552025,-1.68208
0.780579,2.87035,-1.73195e-14,-0.555442,-1.67158
0.782624,2.87035,-1.64313e-14,-0.558849,-1.66099
0.784675,2.87035,-1.64313e-14,-0.562245,-1.6503
0.786733,2.87035,-1.68754e-14,-0.56563,-1.63952
0.788798,2.87035,-1.68754e-14,-0.569004,-1.62865
0.790869,2.87035,-1.55431e-14,-0.572367,-1.61768
0.792948,2.87035,-1.5099e-14,-0.575719,-1.60662
0.795034,2.87035,-1.46549e-14,-0.579058,-1.59546
0.797127,2.87035,-1.59872e-14,-0.582386,-1.5842
0.799228,2.87035,-1.55431e-14,-0.585701,-1.57285
0.801335,2.87035,-1.55431e-14,-0.589004,-1.56141
0.80345,2.87035,-1.46549e-14,-0.592295,-1.54986
0.805573,2.87035,-1.46549e-14,-0.595572,-1.53822
0.807703,2.87035,-1.33227e-14,-0.598836,-1.52648
0.809841,2.87035,-1.33227e-14,-0.602087,-1.51465
0.811986,2.87035,-1.37668e-14,-0.605324,-1.50271
0.81414,2.87035,-1.37668e-14,-0.608547,-1.49067
0.816301,2.87035,-1.46549e-14,-0.611756,-1.47854
0.818471,2.87035,-1.55431e-14,-0.61495,-1.4663
0.820648,2.87035,-1.46549e-14,-0.61813,-1.45396
0.822834,2.87035,-1.55431e-14,-0.621294,-1.44152
0.825028,2.87035,-1.42109e-14,-0.624443,-1.42898
0.82723,2.87035,-1.46549e-14,-0.627576,-1.41633
0.829441,2.87035,-1.5099e-14,-0.630693,-1.40358
0.83166,2.87035,-1.46549e-14,-0.633794,-1.39073
0.833888,2.87035,-1.33227e-14,-0.636878,-1.37777
0.836125,2.87035,-1.42109e-14,-0.639945,-1.36471
0.838371,2.87035,-1.5099e-14,-0.642995,-1.35154
0.840625,2.87035,-1.55431e-14,-0.646027,-1.33827
0.842889,2.87035,-1.59872e-14,-0.649041,-1.32489
0.845161,2.87035,-1.55431e-14,-0.652036,-1.3114
0.847443,2.87035,-1.5099e-14,-0.655013,-1.2978
0.849734,2.87035,-1.46549e-14,-0.65797,-1.2841
0.852034,2.87035,-1.46549e-14,-0.660908,-1.27029
0.854344,2.87035,-1.42109e-14,-0.663826,-1.25637
0.856663,2.87035,-1.46549e-14,-0.666724,-1.24234
0.858992,2.87035,-1.37668e-14,-0.6696,-1.2282
0.86133,2.87035,-1.37668e-14,-0.672456,-1.21395
0.863678,2.87035,-1.37668e-14,-0.67529,-1.19959
0.866036,2.87035,-1.37668e-14,-0.678101,-1.18512
0.868405,2.87035,-1.46549e-14,-0.680891,-1.17053
0.870783,2.87035,-1.46549e-14,-0.683657,-1.15584
0.873171,2.87035,-1.55431e-14,-0.686399,-1.14103
0.875569,2.87035,-1.55431e-14,-0.689118,-1.12611
0.877978,2.87035,-1.64313e-14,-0.691812,-1.11108
0.880397,2.87035,-1.59872e-14,-0.694482,-1.09593
0.882826,2.87035,-1.46549e-14,-0.697125,-1.08067
0.885266,2.87035,-1.5099e-14,-0.699743,-1.0653
0.887716,2.87035,-1.59872e-14,-0.702335,-1.04981
0.890177,2.87035,-1.55431e-14,-0.704899,-1.0342
0.892648,2.87035,-1.59872e-14,-0.707435,-1.01849
0.895131,2.87035,-1.64313e-14,-0.709944,-1.00265
0.897624,2.87035,-1.55431e-14,-0.712424,-0.986707
